run_id,date,quality_score,n_points,h2o_range,run_type,isotope,fit_type,exponent,r_squared,n_fit_points,degree,coeff_0,coeff_1,coeff_2,coeff_3,coeff_4,standard_name
5,12/16,95.97843023255814,688,10052.099,individual,dD,power_law,0.02099418584559926,-0.030084320184978308,688,,,,,,,
5,12/16,95.97843023255814,688,10052.099,individual,dD,polynomial_2nd,,0.06609196831792963,688,2.0,-233.17820178634648,-0.006419831832540467,5.446967499488845e-07,,,
5,12/16,95.97843023255814,688,10052.099,individual,dD,polynomial_4th,,0.06837644176181146,688,4.0,-247.10292310432223,-7.014145338822531,0.34272005854548077,1.3244175732203496,-0.22014352113393026,
5,12/16,95.97843023255814,688,10052.099,individual,d18O,power_law,0.19440426817711975,0.01017772051687904,688,,,,,,,
5,12/16,95.97843023255814,688,10052.099,individual,d18O,polynomial_2nd,,0.33138436904791724,688,2.0,-42.69257357072813,0.004826421051404949,-3.755603319788862e-07,,,
5,12/16,95.97843023255814,688,10052.099,individual,d18O,polynomial_4th,,0.6293268391278009,688,4.0,-31.23254781186871,-0.13360318966350193,-6.875360360806123,4.656137677259994,-0.7177937172609573,
10,01/18,90.05973548199766,861,8789.75,individual,dD,power_law,-1.509185018137598,0.7474877208582489,837,,,,,,,
10,01/18,90.05973548199766,861,8789.75,individual,dD,polynomial_2nd,,0.7377363893359039,837,2.0,-269.279517884853,-0.04391581723001977,6.003545255442059e-06,,,
10,01/18,90.05973548199766,861,8789.75,individual,dD,polynomial_4th,,0.7533775455020293,837,4.0,-339.70970914590134,-8.113097073638057,3.004160565501346,-3.272919338622434,1.2360288492379596,
10,01/18,90.05973548199766,861,8789.75,individual,d18O,power_law,0.48621207657475746,0.3940858666412773,837,,,,,,,
10,01/18,90.05973548199766,861,8789.75,individual,d18O,polynomial_2nd,,0.442669808359899,837,2.0,-59.046290491618535,0.005868737731087687,-7.982687434612891e-07,,,
10,01/18,90.05973548199766,861,8789.75,individual,d18O,polynomial_4th,,0.4436217571005804,837,4.0,-49.549999996312266,1.6367722975947536,-0.6912664600795042,-0.0010048582085671746,0.046390288282547355,
8,01/11,89.4758494773519,861,6194.33,individual,dD,power_law,-1.5606568055919838,0.7847840270538871,837,,,,,,,
8,01/11,89.4758494773519,861,6194.33,individual,dD,polynomial_2nd,,0.7732503814751063,837,2.0,-199.61329181063869,-0.03929980595013965,5.057329219315958e-06,,,
8,01/11,89.4758494773519,861,6194.33,individual,dD,polynomial_4th,,0.7897422310432478,837,4.0,-266.75550445734746,-8.714462202014586,4.685531670076568,-2.931243740904119,0.7925949402802254,
8,01/11,89.4758494773519,861,6194.33,individual,d18O,power_law,0.39760034096062596,0.20592862714309113,837,,,,,,,
8,01/11,89.4758494773519,861,6194.33,individual,d18O,polynomial_2nd,,0.24529310383425218,837,2.0,-46.24875799337947,0.0031295368407686557,-3.9268057240212397e-07,,,
8,01/11,89.4758494773519,861,6194.33,individual,d18O,polynomial_4th,,0.24947734728981774,837,4.0,-40.871916339736856,1.3883471717498095,-0.4029741400304641,-0.2784810189089504,0.11037420490449669,
7,01/10,89.06979651162791,860,8519.05,individual,dD,power_law,-1.0424013041891862,0.6638942162383727,836,,,,,,,
7,01/10,89.06979651162791,860,8519.05,individual,dD,polynomial_2nd,,0.6649670566809721,836,2.0,-218.12913213266236,-0.02919060033650553,3.6379963098676135e-06,,,
7,01/10,89.06979651162791,860,8519.05,individual,dD,polynomial_4th,,0.6775446285343338,836,4.0,-269.5200604762114,-6.887007114002858,3.6821842269700213,-1.783426612613991,0.367172483094422,
7,01/10,89.06979651162791,860,8519.05,individual,d18O,power_law,0.4414854218079424,0.38948390619521844,836,,,,,,,
